H_bin    , Gene , Feature       , Region    , Orientation, Step, Pearson_r            , P_value                , CI_low                , CI_high               , N_windows, Sliding_file                                                      , P_Bonferroni           , Reject_Bonferroni, P_Holm                 , Reject_Holm, P_FDR_BH               , Reject_FDR_BH
0.50-0.56, NSD2 , OTHER_GENIC   , winTrim500, genomic    ,   10, 0.029403101394491704 , 0.0027554808587940366  , 0.010156993617246163  , 0.04862743242926278   ,     10365, sliding_NSD2_OTHER_GENIC_win10k_step10_winTrim500_genomic.csv     , 0.9258415685547963     , False            , 0.12115944633998715    , False      , 0.003149120981478899   , True
0.50-0.56, NSD2 , OTHER_GENIC   , winTrim500, reversed   ,   10, -0.2148237725442046  , 1.7340431729825024e-108, -0.23311153725170028  , -0.19638411214551096  ,     10365, sliding_NSD2_OTHER_GENIC_win10k_step10_winTrim500_reversed.csv    , 5.826385061221208e-106 , True             , 3.52010764115448e-106  , True       , 4.348048553150155e-108 , True
0.50-0.56, NSD2 , PROMOTER      , full      , genomic    ,   10, 0.26808460263941153  , 4.285422319235378e-170 , 0.2501236652302996    , 0.2858610946540768    ,     10365, sliding_NSD2_PROMOTER_win10k_step10_full_genomic.csv              , 1.439901899263087e-167 , True             , 9.599345995087247e-168 , True       , 1.2742494683744132e-169, True
0.50-0.56, NSD2 , PROMOTER      , full      , reversed   ,   10, -0.2372662387364947  , 1.354169229572277e-132 , -0.2553516965196928   , -0.21901480070766016  ,     10365, sliding_NSD2_PROMOTER_win10k_step10_full_reversed.csv             , 4.550008611362851e-130 , True             , 2.8708387666932274e-130, True       , 3.640006889090281e-132 , True
0.50-0.56, NSD2 , PROMOTER      , winTrim500, genomic    ,   10, 0.2932761883030799   , 1.1022677576740914e-204, 0.27558028799881523   , 0.31077338446686975   ,     10365, sliding_NSD2_PROMOTER_win10k_step10_winTrim500_genomic.csv        , 3.703619665784947e-202 , True             , 2.6233972632643374e-202, True       , 3.7410299654393405e-204, True
0.50-0.56, NSD2 , PROMOTER      , winTrim500, reversed   ,   10, -0.24382795291132747 , 3.799621933043408e-140 , -0.26185064635767474  , -0.22563525933364073  ,     10365, sliding_NSD2_PROMOTER_win10k_step10_winTrim500_reversed.csv       , 1.2766729695025852e-137, True             , 8.245179594704195e-138 , True       , 1.0638941412521542e-139, True
0.50-0.56, NSD2 , REG_ALL       , full      , genomic    ,   10, 0.0067470180110065555, 0.49219003416624707    , -0.012506463775287045 , 0.025995498676219052  ,     10365, sliding_NSD2_REG_ALL_win10k_step10_full_genomic.csv               , 1.0                    , False            , 1.0                    , False      , 0.5011389438783607     , False
0.50-0.56, NSD2 , REG_ALL       , full      , reversed   ,   10, -0.16184984214357    , 8.919508536443901e-62  , -0.18053915566049958  , -0.14304369614701923  ,     10365, sliding_NSD2_REG_ALL_win10k_step10_full_reversed.csv              , 2.996954868245151e-59  , True             , 1.3200872633936973e-59 , True       , 1.5773446674974478e-61 , True
0.50-0.56, NSD2 , REG_ALL       , winTrim500, genomic    ,   10, 0.01947186796984057  , 0.04743971093549368    , 0.00022009318724233642, 0.038709214350087236  ,     10365, sliding_NSD2_REG_ALL_win10k_step10_winTrim500_genomic.csv         , 1.0                    , False            , 1.0                    , False      , 0.05060235833119326    , False
0.50-0.56, NSD2 , REG_ALL       , winTrim500, reversed   ,   10, -0.16947502085520577 , 1.2156060575223802e-67 , -0.18811311979098416  , -0.15071490242219332  ,     10365, sliding_NSD2_REG_ALL_win10k_step10_winTrim500_reversed.csv        , 4.084436353275197e-65  , True             , 1.8720333285844657e-65 , True       , 2.219802365910433e-67  , True
